PUBID_1997,birth_year,age_birth,mar_t1,mar_t2,mar_t3,mar_t4,inc_t0,inc_t1,inc_t2,inc_t3,inc_t4,inc_m1,inc_m2,inc_m3,inc_m4,inc_m5,hhinc_t0,hhinc_t1,hhinc_t2,hhinc_t3,hhinc_t4,hhinc_m1,hhinc_m2,hhinc_m3,hhinc_m4,hhinc_m5,bw_t0,bw_t1,bw_t2,bw_t3,bw_t4,bw_m1,bw_m2,bw_m3,bw_m4,
3,2009,26,NA,Cohab,NA,Cohab,26000,NA,NA,NA,NA,NA,NA,NA,NA,36000,26250,NA,150250,NA,150000,NA,NA,NA,NA,NA,Breadwinner,NA,NA,NA,NA,NA,NA,NA,NA,
4,2002,22,Cohab,Cohab,Cohab,Cohab,NA,23000,22050,23500,25000,21000,NA,11000,NA,0,55000,44000,NA,50170,119000,21000,NA,11000,NA,11700,NA,Not a breadwinner,NA,Not a breadwinner,Breadwinner,Breadwinner,NA,Breadwinner,NA,
6,2008,27,Married,Married,Married,NA,NA,21000,31200,NA,NA,15000,30000,20000,0,NA,55250,53550,70450,55000,NA,55000,67500,NA,37500,NA,NA,Not a breadwinner,Not a breadwinner,NA,NA,Not a breadwinner,Not a breadwinner,NA,Not a breadwinner,
11,2004,22,Never married,Never married,Never married,Never married,NA,NA,0,8000,NA,15000,17000,3000,0,900,17500,130808,77598,92458,39250,NA,34250,3000,0,55900,NA,NA,Not a breadwinner,Not a breadwinner,NA,NA,Not a breadwinner,Breadwinner,NA,
17,2004,22,NA,NA,NA,NA,22000,NA,NA,NA,NA,NA,NA,NA,0,0,57000,NA,NA,NA,NA,NA,NA,NA,NA,17500,Not a breadwinner,NA,NA,NA,NA,NA,NA,NA,NA,
25,2004,21,Married,Married,Married,Married,0,0,0,4000,0,0,0,NA,0,0,NA,NA,75000,21500,2800,NA,46000,46500,38000,NA,NA,NA,Not a breadwinner,Not a breadwinner,Breadwinner,NA,Not a breadwinner,NA,Not a breadwinner,
28,2009,26,Never married,Never married,NA,Married,32000,31000,40000,NA,40000,31000,30000,NA,800,1000,32000,31750,40500,NA,40000,NA,105250,NA,33550,16250,Breadwinner,Breadwinner,Breadwinner,NA,Breadwinner,NA,Not a breadwinner,NA,Not a breadwinner,
32,2006,25,NA,Cohab,Cohab,Cohab,NA,NA,104353,121993,80000,NA,15000,0,0,12000,NA,NA,140750,NA,160000,NA,NA,57000,NA,285805,NA,NA,Breadwinner,NA,Breadwinner,NA,NA,Not a breadwinner,NA,
36,1998,18,Never married,Cohab,Never married,Never married,0,0,0,7000,NA,300,NA,NA,NA,NA,35000,NA,NA,NA,7500,40500,NA,NA,NA,NA,Not a breadwinner,NA,NA,NA,NA,Not a breadwinner,NA,NA,NA,
48,2003,20,Cohab,Cohab,Cohab,Cohab,16800,15000,22000,25000,25000,0,NA,0,0,500,79300,NA,NA,62500,75000,NA,NA,NA,NA,38500,Not a breadwinner,NA,NA,Not a breadwinner,Breadwinner,NA,NA,NA,NA,
49,2001,19,Never married,Never married,Never married,Never married,NA,0,15000,26000,NA,0,0,0,0,NA,NA,37500,36000,63750,NA,37500,NA,NA,NA,NA,NA,Not a breadwinner,Not a breadwinner,Not a breadwinner,NA,Not a breadwinner,NA,NA,NA,
50,2007,25,Never married,Never married,Never married,Never married,10000,14000,28000,26000,24000,10000,NA,NA,0,NA,NA,14000,30200,29750,NA,85000,NA,NA,NA,2500,NA,Breadwinner,Breadwinner,Breadwinner,NA,Not a breadwinner,NA,NA,NA,
54,2004,19,Cohab,Never married,Never married,Never married,0,9000,6000,10600,10000,0,0,0,0,0,NA,NA,NA,11100,10000,NA,NA,NA,NA,NA,NA,NA,NA,Breadwinner,Breadwinner,NA,NA,NA,NA,
61,2005,22,Married,Married,Married,Div/Sep/Wid,28000,30000,20000,NA,33000,10000,9000,3500,3000,0,59000,63286,171040,NA,NA,NA,36000,43500,NA,NA,Not a breadwinner,Not a breadwinner,Not a breadwinner,NA,NA,NA,Not a breadwinner,Not a breadwinner,NA,
63,2007,23,Married,Married,Married,Div/Sep/Wid,NA,0,0,0,0,5800,0,0,0,0,27502,18750,15250,195500,NA,5800,141750,NA,185000,NA,NA,Not a breadwinner,Not a breadwinner,Not a breadwinner,NA,Breadwinner,Not a breadwinner,NA,Not a breadwinner,
77,2008,24,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,20000,20000,0,0,0,NA,NA,NA,NA,NA,87500,105000,112750,75000,NA,NA,NA,NA,NA,NA,Not a breadwinner,Not a breadwinner,Not a breadwinner,
78,2008,27,Never married,Never married,Never married,NA,0,NA,15000,0,NA,0,0,0,0,3000,8250,17750,19000,5735,NA,NA,35000,7500,NA,NA,Not a breadwinner,NA,Breadwinner,Not a breadwinner,NA,NA,Not a breadwinner,Not a breadwinner,NA,
84,2004,21,NA,NA,Married,Married,NA,NA,NA,NA,42000,0,0,0,0,0,NA,NA,NA,NA,177000,NA,NA,NA,NA,NA,NA,NA,NA,NA,Breadwinner,NA,NA,NA,NA,
100,2001,21,Cohab,Never married,Never married,Never married,NA,NA,0,NA,9000,NA,1000,0,0,NA,NA,NA,52500,NA,NA,NA,NA,NA,26000,NA,NA,NA,Not a breadwinner,NA,NA,NA,NA,NA,Not a breadwinner,
101,2002,21,Never married,Never married,Cohab,Cohab,0,1000,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
